Date,sigma_p_pct,VaR_95,VaR_99,CVaR_95,CVaR_99,actual_return_decimal,actual_pnl,actual_loss
2024-01-19,0.8987963824441295,147843.01694823484,209087.0024479778,185394.7298067506,239547.2118490094,0.009195002241290356,91950.02241290356,-91950.02241290356
2024-01-23,0.8865680468591443,145831.57802786064,206242.3247408427,182872.39102563568,236288.11584889915,-0.020873320534694647,-208733.20534694646,208733.20534694646
2024-01-24,0.9970175849837949,163999.42255398442,231936.2007947802,205654.81725460736,265725.126749881,0.00840131052918358,84013.10529183579,-84013.10529183579
2024-01-25,1.0218364048210369,168081.87022901236,237709.8028535178,210774.19522243526,272339.83861290273,-0.006472520527256399,-64725.20527256399,64725.20527256399
2024-01-29,0.9846511729172623,161965.2714331605,229059.40235574273,203103.9974376437,262429.2306059088,0.015669889486781923,156698.89486781924,-156698.89486781924
2024-01-30,1.0128518418119816,166603.99945965284,235619.72396072128,208920.94941055743,269945.27287972934,-0.011339011759346599,-113390.11759346598,113390.11759346598
2024-01-31,1.0106323051730919,166238.90787792188,235103.39315241633,208463.12558805366,269353.72197473247,0.015088796082406928,150887.96082406928,-150887.96082406928
2024-02-01,1.0328457276807799,169892.79374621145,240270.9016303798,213045.08824871446,275274.0433414815,-0.0009311984062259062,-9311.984062259062,9311.984062259062
2024-02-02,1.0063651342631152,165537.00093493983,234110.72118362848,207582.93624445278,268216.4355838055,0.008553470445581749,85534.7044558175,-85534.7044558175
2024-02-05,0.9894950808332091,162762.0458462546,230186.24065422942,204103.15032346608,263720.2289436669,-0.002484673029684443,-24846.73029684443,24846.73029684443
2024-02-06,0.9729733612988806,160044.3882000529,226342.7930389586,200695.21523512012,259316.86025337764,0.011663386400793415,116633.86400793416,-116633.86400793416
2024-02-07,0.9837986109058615,161825.03350790514,228861.07085503053,202928.13947155204,262202.0057786302,0.0008450853377426142,8450.853377426143,-8450.853377426143
2024-02-08,0.9603547727311612,157968.75656654872,223407.33078045002,198092.37897125664,255953.7540283091,-0.010175652458111365,-101756.52458111366,101756.52458111366
2024-02-09,0.965199109640948,158765.60154483953,224534.2688757737,199091.6203456383,257244.86670150544,0.004084439327183787,40844.393271837864,-40844.393271837864
2024-02-12,0.9499143837556199,156251.41698396194,220978.58309306984,195938.83993727172,253171.18155854783,-0.0049795081525521355,-49795.08152552135,49795.08152552135
2024-02-13,0.9628169609982139,158373.7619145962,223980.10963701448,198600.25454510155,256609.97644524396,0.008264645346893655,82646.45346893655,-82646.45346893655
2024-02-14,0.9378547725471039,154267.73153627312,218173.15573763274,193451.3039332911,249957.05397925412,0.0042289234483985205,42289.2344839852,-42289.2344839852
2024-02-15,0.92473238024094,152109.2292258322,215120.49361544984,190744.54807229867,246459.67398181531,-0.000693915696500479,-6939.1569650047895,6939.1569650047895
2024-02-16,0.913717423369948,150297.37897012275,212558.08419855096,188472.4929185192,243523.96767655853,0.008645885400085897,86458.85400085898,-86458.85400085898
2024-02-19,0.9154336818661349,150579.68633016053,212957.33741251897,188826.50555852763,243981.38489096228,0.004977468893756815,49774.68893756815,-49774.68893756815
2024-02-20,0.903103747006342,148551.53534507318,210089.0246660853,186283.20989499814,240695.21065213025,0.002027626751805793,20276.267518057928,-20276.267518057928
2024-02-21,0.8865068921144542,145821.5186839066,206228.09831258547,182859.77663644849,236271.81688634434,-0.006481464676015665,-64814.64676015665,64814.64676015665
2024-02-22,0.8733293147847319,143653.93898894056,203162.5984983722,180141.63776064664,232759.72897642673,0.009332699695528334,93326.99695528335,-93326.99695528335
2024-02-23,0.8702254769001029,143143.38869529794,202440.55269127092,179501.40912018422,231932.4941034154,-0.0003512617905188501,-3512.617905188501,3512.617905188501
2024-02-26,0.8524579545069353,140220.8089368458,198307.29395694836,175836.50227614556,227197.0940351884,-0.005433663504097614,-54336.63504097614,54336.63504097614
2024-02-27,0.8358289981051588,137485.51189831755,194438.89982920306,172406.4474391511,222765.1445749869,0.002364195354652493,23641.953546524932,-23641.953546524932
2024-02-28,0.8206713235760763,134992.22601502878,190912.7700035026,169279.87391403725,218725.32115949583,-0.009006717396242094,-90067.17396242094,90067.17396242094
2024-02-29,0.8287511332097048,136321.27390166436,192792.37611857362,170946.4962471658,220878.75202305053,0.00027528900707902857,2752.890070790286,-2752.890070790286
2024-03-01,0.810388561344761,133300.81445559976,188520.69102563176,167158.84854858386,215984.75936960572,0.007544336014569449,75443.36014569449,-75443.36014569449
2024-03-04,0.8472011006528957,139356.10904639482,197084.3920448831,174752.17103167277,225796.03734600975,0.004860971998036707,48609.71998036707,-48609.71998036707
2024-03-05,0.8300469671476034,136534.4256261093,193093.825967547,171213.78791353613,221224.11768417925,-0.0061352075688342125,-61352.07568834213,61352.07568834213
2024-03-06,0.8273465907298064,136090.24070914584,192465.6374014748,170656.78126983717,220504.41336130802,0.0038814285804992066,38814.28580499207,-38814.28580499207
2024-03-07,0.8100757275428276,133249.35642351973,188447.916498288,167094.32032025902,215901.3829047144,0.0006671522172822359,6671.522172822359,-6671.522172822359
2024-03-11,0.8002088245167652,131626.34954476272,186152.57884733507,165059.07423307316,213271.65591020827,-0.0061889538158496574,-61889.53815849657,61889.53815849657
2024-03-12,0.7971579685538264,131124.5142474189,185442.85822467663,164429.7741735978,212458.54177896585,-0.00021783367327007143,-2178.3367327007145,2178.3367327007145
2024-03-13,0.7936028977556008,130539.74065181876,184615.8421048854,163696.46972004778,211511.0443098227,-0.009070849122845587,-90708.49122845587,90708.49122845587
2024-03-14,0.8355722125341168,137443.27323973688,194379.1638018116,172353.4802794123,222696.70608459285,0.0051898448074580135,51898.448074580134,-51898.448074580134
2024-03-15,0.8373930588230329,137742.7842458007,194802.74727400212,172729.066243427,223181.9980375147,-0.0035044754531291357,-35044.75453129136,35044.75453129136
2024-03-18,0.824981928946418,135701.2774923963,191915.5461308052,170169.02248377763,219874.18370279935,0.0005532739236161854,5532.739236161854,-5532.739236161854
2024-03-19,0.8175702425476575,134482.1291966642,190191.36552386158,168640.21393030533,217898.8210438017,-0.013888892253920721,-138888.9225392072,138888.9225392072
2024-03-20,0.856839506851017,140941.53048192378,199326.57447875204,176740.28507815927,228364.86536593304,0.0022065807862398997,22065.807862398997,-22065.807862398997
2024-03-21,0.8381049850075724,137859.88898389557,194968.36266231153,172875.91525751195,223371.74060421818,0.004235726234985078,42357.262349850775,-42357.262349850775
2024-03-22,0.8160868148626291,134238.12017675387,189846.2757414934,168334.2273017145,217503.45789718794,0.002875528012641958,28755.280126419577,-28755.280126419577
2024-03-26,0.8273648361414147,136093.2418969013,192469.88183157728,170660.5447508896,220509.27612840984,-0.004217668428121785,-42176.68428121785,42176.68428121785
2024-03-27,0.8194951941337949,134798.76448306793,190639.1670113447,169037.27369397788,218411.85914053902,0.002761397852531175,27613.97852531175,-27613.97852531175
2024-03-28,0.8205221233689021,134967.68407295068,190878.06155930768,169249.0983873034,218685.55632027978,0.010106256121087401,101062.56121087402,-101062.56121087402
2024-04-01,0.8234128354406319,135443.17730162953,191550.52790855418,169845.36556633914,219455.9889016372,0.005425610830701278,54256.10830701278,-54256.10830701278
2024-04-02,0.8082946491131442,132956.3868326211,188033.5842231907,166726.93727256823,215426.68988163516,-0.0032148806018466422,-32148.80601846642,32148.80601846642
2024-04-03,0.7926266294872744,130379.15428436176,184388.7328176246,163495.0948643401,211250.8492909484,0.00036847046976302863,3684.7046976302863,-3684.7046976302863
2024-04-04,0.7863067079938093,129339.59039790167,182918.52948059983,162191.48465788303,209566.46381451006,0.0023779903691765994,23779.903691765994,-23779.903691765994
2024-04-05,0.780497758936406,128384.07636744942,181567.1936613761,160993.27273581247,208018.26271173093,-0.0015577854348068926,-15577.854348068926,15577.854348068926
2024-04-08,0.7682221173473371,126364.85608246349,178711.511158511,158461.17614523522,204746.5587154123,0.004538014923200164,45380.14923200164,-45380.14923200164
2024-04-09,0.7641171000747948,125689.621791303,177756.5609903995,157614.4342324279,203652.4895119343,-0.00031098157900671464,-3109.8157900671463,3109.8157900671463
2024-04-10,0.7571721585675921,124547.24836278323,176140.95924757895,156181.90114773723,201801.52370143463,0.003977562837032107,39775.62837032107,-39775.62837032107
2024-04-12,0.7498552196812612,123343.68508537067,174438.8197544518,154672.63616365375,199851.41314944974,-0.014304393479832346,-143043.93479832346,143043.93479832346
2024-04-15,0.7798658529621724,128280.13415374774,181420.19337459013,160862.9294905073,207849.8471314782,-0.007359512022358591,-73595.12022358591,73595.12022358591
2024-04-16,0.8105885507436255,133333.71071181895,188567.2145594896,167200.1003618876,216038.06054419104,-0.004798279106707478,-47982.79106707478,47982.79106707478
2024-04-18,0.8193555338446298,134775.79176210312,190606.6778382762,169008.46596613177,218374.6368802707,-0.01104103879590637,-110410.3879590637,110410.3879590637
2024-04-19,0.8317772192075045,136819.03478744242,193496.33450424176,171570.68700593195,221685.2644631841,0.009429738877531978,94297.38877531978,-94297.38877531978
2024-04-22,0.8345064791009335,137267.97074731253,194131.24223325012,172133.65144414952,222412.66680998076,0.010424679311778021,104246.79311778021,-104246.79311778021
2024-04-23,0.8362602332208403,137556.44576249603,194539.21805416406,172495.3983064627,222880.07735801837,-0.001382127370892643,-13821.273708926428,13821.273708926428
2024-04-24,0.8266464305863008,135975.07136714063,192302.75914729113,170512.35923703626,220317.80667986086,-0.000100411926122621,-1004.11926122621,1004.11926122621
2024-04-25,0.8079387656883985,132897.84756808466,187950.79506209213,166653.52919854596,215331.839831272,0.012121436518690541,121214.36518690542,-121214.36518690542
2024-04-26,0.8449674685308524,138988.6988986399,196564.78220433218,174291.43973385895,225200.72971284276,-0.007853453375570928,-78534.53375570929,78534.53375570929
2024-04-29,0.851910578592446,140130.77107267143,198179.9578979607,175723.59504626386,227051.2074064587,0.009557688242943764,95576.88242943764,-95576.88242943764
2024-04-30,0.8476286614823411,139426.4385272303,197183.85552063698,174840.3640039625,225909.99085827352,-0.0028794677109879427,-28794.677109879427,28794.677109879427
2024-05-02,0.8362841337075759,137560.37715355915,194544.77802439334,172500.32825986168,222886.4473157431,0.00024417660318874323,2441.7660318874323,-2441.7660318874323
2024-05-03,0.8230127022583134,135377.35939446997,191457.44492635143,169762.8300948223,219349.34540588566,-0.0036540504901718075,-36540.50490171807,36540.50490171807
2024-05-06,0.8156113132969668,134159.90492421808,189735.65981227337,168236.14559376537,217376.7272199076,0.001077643819303464,10776.438193034639,-10776.438193034639
2024-05-07,0.8064784273115959,132657.6365084844,187611.07654549653,166352.30520156288,214942.63044708653,0.0001683685894394138,1683.685894394138,-1683.685894394138
2024-05-08,0.833498526238216,137102.17258092415,193896.76215879613,171925.7410071568,222144.0272130093,-0.00356554556155475,-35655.4556155475,35655.4556155475
2024-05-09,0.8457653559486328,139119.94339999062,196750.39475433042,174456.01997152448,225413.38266742963,-0.01694428829822878,-169442.8829822878,169442.8829822878
2024-05-10,0.8844833110237531,145488.65983029714,205757.35264345567,182442.37256486953,235732.49205405064,0.005713260240558313,57132.60240558313,-57132.60240558313
2024-05-13,0.8592926622110386,141345.05000709376,199897.25201015393,177246.29743427093,229018.680332486,0.002877984871558257,28779.84871558257,-28779.84871558257
2024-05-14,0.8370233704097719,137681.97419870336,194716.74665842523,172652.81061442365,223083.4686816124,0.0016936536432793996,16936.536432793997,-16936.536432793997
2024-05-15,0.824340578302191,135595.7817249274,191766.34873043868,170036.73108639292,219703.25092909994,-0.0029886808605745,-29886.808605745002,29886.808605745002
2024-05-16,0.8085016738254742,132990.44032755226,188081.74438202006,166769.64025998057,215481.86610796538,0.00777697350077895,77769.7350077895,-77769.7350077895
2024-05-17,0.808257542867476,132950.28322627113,188024.95219726095,166719.2833672743,215416.80032503972,-0.001609952321540343,-16099.52321540343,16099.52321540343
2024-05-21,0.7957325511157263,130890.04733302582,185111.26336605143,164135.75331864087,212078.63952336338,-0.002311701645024793,-23117.016450247927,23117.016450247927
2024-05-22,0.7818911280938441,128613.27166015642,181891.33312847093,161280.68299191722,208389.6234595713,0.004591424441247142,45914.244412471424,-45914.244412471424
2024-05-23,0.7840152311981627,128962.6653797858,182385.46323362857,161718.82173924503,208955.73941893436,0.01291380720548807,129138.0720548807,-129138.0720548807
2024-05-24,0.8022200140349112,131957.17010860253,186620.44186494136,165473.92229498114,213807.6781405845,-0.0018498130382058357,-18498.130382058356,18498.130382058356
2024-05-27,0.7891936412291264,129814.462045779,183590.11675913166,162786.9723763319,210335.8892603868,-0.0035843893725779215,-35843.89372577921,35843.89372577921
2024-05-28,0.7848274678016618,129096.27017869534,182574.41383470056,161886.36178344875,209172.21671849888,-0.001131063194813579,-11310.63194813579,11310.63194813579
