date,daily_loss,var95,var99,hit95,hit99,rolling_breach95,rolling_breach99,uce95
2019-10-22,61622.15978250028,170542.56473287797,241189.8403174017,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-23,-46353.50523990929,186692.2212983438,264029.4938332647,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-24,32612.271755097456,179712.66373083595,254158.6538008655,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-25,-50209.66526839335,174187.7288636032,246345.0140770868,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-27,-19458.410472662148,171084.3157400893,241956.01173698693,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-29,-169676.70671112236,164792.17252338384,233057.34752334352,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-30,-25463.07557603414,165244.33363052612,233696.81641722468,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-31,-25659.571878915427,163200.04618109326,230805.68267437367,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-11-01,-27312.158054335083,160742.59585015054,227330.2332823911,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-11-04,-27204.927463011067,156972.15013277996,221997.8800254642,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-11-05,3531.4922622200734,155358.52236769767,219715.80678702355,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-11-06,-22648.278056300573,152075.68543868567,215073.05431090915,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-11-07,-27571.561309510136,150960.21519586013,213495.5004013189,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-11-08,157230.40362735422,148972.3268158998,210684.1290484696,1,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-11,6246.145246994214,153610.17138975454,217243.2012304614,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-13,66362.6052771207,149602.34250028752,211575.128797142,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-14,-39194.45764821571,152438.95285043557,215586.8052866243,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-15,23217.008607216358,150841.25260747116,213327.25754803335,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-18,27144.407758899073,146462.13792477257,207134.0941421353,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-19,-23893.129002635,143710.95537226743,203243.23392455815,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-20,-94905.22754657414,142482.22029753542,201505.495214394,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-21,36537.15934414078,145530.03081908572,205815.86156875137,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-22,47417.37608230435,142734.02927111107,201861.61608206315,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-25,-89834.61968326647,141463.96038577592,200065.42102585596,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-26,40134.775757831856,141444.23591753957,200037.52569455424,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-27,-68034.29266069864,141131.15587480328,199594.752210806,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-28,-20440.02951225621,139447.89005003645,197214.19333904775,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-11-29,108090.950356316,137569.71324007065,194557.9815857355,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-12-02,79086.16106944693,139858.5017760249,197794.90101621175,0,0,0.03333333333333333,0.0,0.01666666666666667
2019-12-03,32724.590825633826,140710.60133492344,198999.9829080384,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-04,-93061.99172978563,137547.76668133907,194526.94366271448,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-05,9466.040949430428,138746.50206849357,196222.25531153052,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-06,77062.90006354949,136506.80042978068,193054.75703070025,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-09,102.0329002925006,135962.71483724136,192285.2839235665,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-10,55287.73760910157,134218.70809989402,189818.8222097291,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-11,-59193.76185618885,133674.56168948775,189049.26309092063,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-12,3395.1741218082893,132305.55333024354,187113.1428732114,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-13,-101570.40228047136,131432.1794834116,185877.97381741164,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-16,44742.07136771071,134783.5224841948,190617.6110128168,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-17,-60645.90070934329,132252.68580830336,187038.37497468304,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-18,-58190.46344146215,131274.87771314802,185655.50977208113,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-19,-26928.261413329503,131196.33105588934,185544.4251536965,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-20,2018.9649862545732,129260.72721994764,182806.9972227881,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-23,-15496.690868771282,127473.74485459016,180279.75722246524,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-24,35325.00048356243,126935.03533537452,179517.8872276015,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-26,62201.31288922799,124800.91766298954,176499.71108238347,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-27,-90533.04174423259,125171.86436929207,177024.32250123663,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-30,6024.927751339285,125691.56182295091,177759.30468036397,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-12-31,51899.777744423074,123896.5980820042,175220.77701876487,0,0,0.016666666666666666,0.0,0.03333333333333334
2020-01-01,-3202.5206839390003,123288.68914308646,174361.04173722537,0,0,0.016666666666666666,0.0,0.03333333333333334
2020-01-02,-36740.559106624925,121581.5345808228,171946.69821592074,0,0,0.016666666666666666,0.0,0.03333333333333334
2020-01-03,-6322.545774492214,120165.70503309296,169944.36112741454,0,0,0.016666666666666666,0.0,0.03333333333333334
2020-01-06,164508.69754752592,120958.90028767148,171066.13760058978,1,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-07,-37164.60264385078,130469.46819051164,184516.4592690055,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-08,16008.01298715814,129404.4305391704,183010.22965728745,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-09,-108144.50569479848,128496.21210091068,181725.78163435377,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-10,-39147.998969576496,131506.54070624927,185983.13918472105,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-13,-68170.79403540201,130238.96973061496,184190.47679757408,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-14,-41367.309059884865,131732.89207195732,186303.25662775504,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-15,26858.859252716356,129243.54573259724,182782.6983024749,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-16,-20234.69829001357,129362.67191754,182951.1725222039,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-17,-52474.48827042564,127074.67143470404,179715.36759593408,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-20,98393.91664284536,129433.24976660073,183050.9872527468,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-21,61239.79270259235,130086.75358182171,183975.205092949,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-22,60845.557883408634,128304.5257314007,181454.68916588085,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-23,-42161.2312768105,131658.39007943452,186197.8921769035,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-24,-30460.24905138657,129993.01179375243,183842.6307591989,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-27,21108.842710178284,127884.33658641124,180860.43662287583,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-28,40946.76841017393,134041.3652002807,189568.01499508356,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-29,-67118.06481516406,130205.11480959666,184142.59747192208,0,0,0.03333333333333333,0.0,0.01666666666666667
2020-01-30,96693.6011014407,131054.56671780776,185343.9349234824,0,0,0.03333333333333333,0.0,0.01666666666666667
