date,AXISBANK,BAJFINANCE,DRREDDY,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,MARUTI,ONGC,RELIANCE,SUNPHARMA,TCS,WIPRO
2019-05-21,10944.157731058029,19597.676939464112,15051.759620941817,10115.124647443976,8194.994645797658,16010.162598556617,8527.626734361891,8310.62449996136,13797.361034690119,12309.781361866115,14560.0582075418,14890.227715129127,8884.42011666608,9199.08144458089
2019-05-22,11203.734400594902,19107.683616018505,11230.338726538459,10175.32693387117,7797.964641922501,16172.573179743142,8996.548916938802,8181.4186682747195,14547.061825092975,12006.13592426042,14165.43870258355,14468.09290174617,9067.185235911667,9351.024714779118
2019-05-23,11151.905972947032,18680.614513658595,7494.65782270586,9893.21934963266,7537.218355714374,15959.86925831485,8773.806660306213,8052.984451959245,14227.171431024759,11837.026988421572,13758.77641199874,14452.140849039533,9078.279588141759,9482.889507457701
2019-05-24,11013.735811281325,18746.722423243064,6114.635302229771,11715.258013939836,7284.062218402467,15492.495302109191,8861.894378827366,9786.693461784433,13675.810477104726,11930.631839908392,13306.233646722127,14286.03088430402,9087.312028977854,9263.642554649743
2019-05-27,11201.691504702783,19034.233565678707,5670.455215429337,11904.68924925404,6839.39839892337,18558.42735210556,8803.814862969266,9567.943500347194,13951.070615093562,11397.253972638922,12798.366369645115,13836.251430144866,8752.233245031119,9018.984943533338
2019-05-28,11237.087194882688,18474.74593270191,5265.6965320439185,11793.855685483059,6858.265604413128,17944.715954430947,8610.836188662613,9312.176260136273,13497.266145585618,11021.3967174616,12879.287513012545,13480.156382619376,8595.500874588957,9016.08344018579
2019-05-29,11071.677313121058,17994.665133300823,5170.908214014306,11296.02400018787,6568.305911275253,17225.493668365427,9640.975053336311,9077.508844153188,12993.556529712898,10731.315687865525,12572.735507715173,13165.638759259664,8591.011625347232,9088.546512493756
2019-05-30,10887.44427382883,17317.823712472036,6149.954217440752,10774.476627602955,6274.206094697289,17512.839345428263,9306.197500438504,8826.95987619539,13216.918690164839,11292.307352497586,12255.959881917317,13218.168596641444,8557.135121895333,9062.572090248304
2019-05-31,10657.965093680757,17281.554285561222,6473.605173492082,10503.352996578973,6042.816622474162,16851.38889683784,9149.62873820165,8593.721299321767,12731.346464217811,11109.117037754379,12095.244705641564,13272.941170319551,8727.555755086812,9071.290833436711
2019-06-03,10463.171767071228,16762.770465644306,6041.3224188696395,10185.423747542784,5847.380458433534,16265.397870292218,8953.531652214793,9704.763115621716,12305.188124244884,10935.91425393203,11722.364320916808,13004.397263417579,8983.690635455408,9024.502688375846
2019-06-04,10206.481610720233,16360.727183252713,6747.774399362597,10144.134538157901,7556.901495925729,15403.607715719974,8914.139026262434,9326.876588582387,12601.23174699321,10408.147357304031,12116.63894544666,12883.206387109118,9323.55697611522,9514.832515119375
2019-06-06,9956.075158546526,15774.243113717997,7924.117074549522,9730.958444058479,7568.163597518824,14908.176716813747,9116.611946055045,9020.56710184925,12110.435468559124,10211.385220186203,11784.954933803816,12817.227766579066,9549.076828647487,9463.145189077999
2019-06-07,10685.42109645893,16159.64912789551,6482.290367053891,9827.263545709648,7323.298219900164,15086.034433799525,8832.921279141641,9046.441379792692,11887.76840606413,10024.56808067788,12001.667814914226,12683.387974850471,9384.765495362273,9408.403362876947
2019-06-10,10435.574214799683,15808.739002282811,9196.542124589974,9570.904822688153,7003.426720430666,14564.563585441756,8691.878235936989,8755.131175735449,11450.337478719952,9921.581665072285,11724.71260016676,12643.963662973247,9189.689764904699,9487.257908248881
2019-06-11,10344.219342368839,15333.229224355242,8286.65427869094,9232.554992321524,7008.955019539716,13998.992485120933,9233.761804030964,8800.287431655344,11102.97049168537,10093.747369274955,11393.004345496707,12330.325126202903,9584.200801767556,9480.979393576608
2019-06-12,10194.985167967472,15017.15132283479,7040.359730476786,8961.018836009514,6743.971702848969,13762.410594375307,9003.849976187426,8597.812169646933,10795.581408643764,10746.085691804481,11181.441418808237,12568.462044206928,9437.670682196038,9331.260205572093
2019-06-13,10060.662018106268,14897.326642962325,6416.832588137906,8913.301460250315,6479.911066316611,13444.732783435502,8831.587777330584,8397.9713169462,10995.150478807433,10466.202584931343,10883.680111357737,12242.638391745397,9228.796823192843,9199.03361367918
2019-06-14,9925.896773223536,14634.497164649443,6024.8952251453575,8749.362792693242,6226.259733792982,12998.342654607792,8694.823499637017,8210.474817839764,10815.918521278876,10388.380840129816,10633.72122548647,11971.913812052115,9057.36006021573,9098.93235041172
2019-06-17,10990.96115902451,14316.987736294503,6317.403466385453,8543.981853424355,6384.438632844096,12616.951196583032,8584.474605011326,8156.149271491774,10542.219549792108,9999.025003233308,10456.245081545996,11668.798897659864,8843.895086419958,8970.488755478878
2019-06-18,12711.491861029743,14271.052017118767,6065.687720611483,8365.981296339225,6074.498658785908,12375.088353302526,8296.038448555943,8155.459155656987,11289.61131334393,11622.533847610612,11521.58646310655,11919.014767495777,8531.603475608765,8707.604807950063
2019-06-19,12413.37675700444,14035.487532059664,6750.113122352261,8129.327407009412,5913.367919600906,12500.410250095516,8473.859373022384,7948.812900057564,11534.412952084407,11277.32111615209,11166.435170337805,11759.54325083297,8379.175424929332,8674.753544116029
2019-06-20,12200.32857864556,13630.020923673605,7348.473770353673,7931.091778229923,5737.942132546976,12114.494271322683,8399.788169190793,7805.665286391911,11150.470981388093,10882.796820555184,10863.89451443444,11604.578711023523,8265.51765542382,9003.453724045412
2019-06-21,11894.578970254455,13640.639285385836,6528.3524189783675,7793.508425692358,5554.191915561066,13531.936295264182,8275.499841359439,7563.786564758158,12144.204263824944,11558.687944373494,10955.046691373655,12514.644380516513,8177.989685823991,9570.353571127453
2019-06-24,11569.565453894958,13273.087151647675,6320.563507472439,7684.583197059724,6614.504735903379,13064.033007383134,8300.344122780865,7586.892616061092,13176.909256163639,11145.192960467579,10985.241958801773,12571.42281634595,8298.312401259613,9395.709165524084
2019-06-25,11542.689091843728,12929.17328016925,7188.310218756254,7449.478717151559,6305.786934158241,12576.96010652356,8319.449394303529,7405.031711313951,12670.582390359203,13024.67442273703,11024.111692440378,12259.641225498568,8184.792462232703,9327.548703577073
2019-06-26,11632.963495494145,12769.51624464295,6804.40117374553,7356.213977236086,6073.079250117222,12315.01800260185,8247.336193640469,7366.204820046138,12399.865434200108,12531.924262689095,11841.32558675306,11963.509163750778,8027.297102856441,9212.718384367392
2019-06-27,11399.21519789025,12696.95817651509,7569.890680239357,7852.062731226895,5885.79962575839,12087.073530663785,8406.16098810507,7200.863177682942,11944.624290852124,12043.119325286556,11438.673415501517,12613.611397025994,7908.843576907483,9094.00780235348
2019-06-28,11226.67247040773,12402.801427953187,6852.2247620268345,7685.801983625283,5825.604136503909,11700.943921077223,8627.239305526255,7330.849426859532,11557.009176001098,11928.654317010612,11492.67867813666,12295.182833486488,7839.351633790775,9371.887687332028
